,node_814r.2_harmonico_60,node_814r.2_harmonico_180,node_814r.2_harmonico_300,node_814r.2_harmonico_420,node_814r.2_harmonico_540,node_814r.2_harmonico_660,node_814r.2_harmonico_780,node_814r.2_harmonico_900,node_814r.2_harmonico_1020,node_814r.2_harmonico_1140,node_814r.2_harmonico_1260,node_814r.2_harmonico_1380,node_814r.2_harmonico_1500,node_814r.2_harmonico_1620,node_814r.2_harmonico_1740,node_814r.2_harmonico_1860,node_814r.2_harmonico_1980,node_814r.2_harmonico_2100,node_814r.2_harmonico_2220,node_814r.2_harmonico_2340,node_814r.2_harmonico_2460,node_814r.2_harmonico_2580,node_814r.2_harmonico_2700,node_814r.2_harmonico_2820,node_814r.2_harmonico_2940
1,20914.134401590603,-0.0033396029743674,0.0181403276569723,0.0083649440370212,-0.000553753490773,-0.0054300208253307,-0.0092807142733735,-0.0129394764159272,-0.0167829820891306,-0.0211050457843473,-0.0262750838198325,-0.0329221770918566,-0.0421856348272644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-41828.91830290313,0.0061201845193696,-0.0381089835508506,-0.0129940618711106,0.0029947616057574,0.0121054124316054,0.0195021727096473,0.0265985702210986,0.0340181010012631,0.0421865443727656,0.0515047771306184,0.0624194481757306,0.0754575607266574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20914.78390947935,-0.0027805815450023,0.0199686558938783,0.0046291178340879,-0.0024410081149846,-0.006675391606274,-0.0102214584362732,-0.0136590938051702,-0.0172351189121293,-0.0210814985884183,-0.0252296933107814,-0.029497271083874,-0.0332719258993996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.257961808849269,-0.0002794193027517,-0.0005367002448504,0.0015125480517672,0.0007561855431762,0.0004814113246211,0.0003403959635128,0.0002284554195848,8.614307405018239e-05,-0.0001692712500459,-0.0007179177862309,-0.0019965596575829,-0.0049504637927251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-13072.32266484378,0.003939946085004,-0.0208367303094087,-0.0079467124946003,0.001485881650027,0.0067936049929607,0.0110610421293681,0.015137108761839,0.0193939406119588,0.0240853906256771,0.0294541714121214,0.0357832326328341,0.0434314485315061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,13072.57151554674,-0.0038710104850016,0.0219518077961403,0.0067139132037066,-0.0021316861758599,-0.0072552525112119,-0.0114555898757979,-0.0155019002348203,-0.0197369859579649,-0.0243954499836423,-0.0296946082773997,-0.0358644576043572,-0.0431522856118366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-13.797053404404624,0.0003455855853916,-0.0497062615285753,0.0906625816100762,0.0751261290602905,0.0805176021163569,0.0892578697518899,0.0957529906011152,0.0939253628583723,0.07123345374177,-0.0017834876267591,-0.1947036254694639,-0.6478802878794471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-13044.140561379209,-0.2120360275244276,-2.0586611874926435,-0.7003307131020744,0.0109086852432031,0.4008578875201908,0.7139395232509803,1.0107350266460389,1.314187781607681,1.634299211907706,1.969977080712065,2.2996577928860047,2.568221825963677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,13059.753398936458,0.2067275579830854,2.235220276537399,0.6689113262707784,-0.031416363263766,-0.4278006288260713,-0.7550487237368689,-1.0745129410863044,-1.415470523273167,-1.802889980696428,-2.269636383335855,-2.869956520962518,-3.692315748096888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-23.01471405350881,0.0007736338697706,-0.0826686490470544,0.1504406636064893,0.1250076418071158,0.1342137147500729,0.1489279476085371,0.1598785748852622,0.1569573511903346,0.1192779004866685,-0.0022346223078926,-0.3234770214018196,-1.0781954714084103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-13025.859231107946,-0.3568025593223472,-3.4250629876118315,-1.1645647883865722,0.0173506996488189,0.6653088080733682,1.1855644777009502,1.6787577966078686,2.182974571291856,2.7147650728436923,3.272165175310863,3.8190046957307935,4.2630297774274295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,13051.370026743914,0.3479020162182031,3.719284348805256,1.1129084231767483,-0.0511412276505828,-0.70993516084082,-1.253851509615197,-1.784863752734995,-2.351646352986357,-2.9957450721464927,-3.771902891246214,-4.770563909493005,-6.139319530139897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
