,node_sourcebus.3_harmonico_60,node_sourcebus.3_harmonico_180,node_sourcebus.3_harmonico_300,node_sourcebus.3_harmonico_420,node_sourcebus.3_harmonico_540,node_sourcebus.3_harmonico_660,node_sourcebus.3_harmonico_780,node_sourcebus.3_harmonico_900,node_sourcebus.3_harmonico_1020,node_sourcebus.3_harmonico_1140,node_sourcebus.3_harmonico_1260,node_sourcebus.3_harmonico_1380,node_sourcebus.3_harmonico_1500,node_sourcebus.3_harmonico_1620,node_sourcebus.3_harmonico_1740,node_sourcebus.3_harmonico_1860,node_sourcebus.3_harmonico_1980,node_sourcebus.3_harmonico_2100,node_sourcebus.3_harmonico_2220,node_sourcebus.3_harmonico_2340,node_sourcebus.3_harmonico_2460,node_sourcebus.3_harmonico_2580,node_sourcebus.3_harmonico_2700,node_sourcebus.3_harmonico_2820,node_sourcebus.3_harmonico_2940
1,20914.134401590603,-6.674325984831904e-08,-7.692469684255286e-07,-4.4133943410536986e-07,2.3603842133720403e-07,4.38980760703099e-07,4.579290502830418e-07,2.938548625488949e-07,-1.48248619214904e-07,-1.0708259827359876e-06,-2.862469300438191e-06,-6.198530593497767e-06,-1.1765817124090793e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-41828.91830290313,-0.0396447900960058,-0.0627498320059329,-0.0858266988727357,-0.1089175123625858,-0.1320107956403947,-0.155105199157158,-0.1782006849871292,-0.2012974608025317,-0.2243958683308154,-0.2474964083247256,-0.2705998243678133,-0.2937072245449896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20914.78390947935,0.0396448590758497,0.0627506047398961,0.0858271449495626,0.1089172823119909,0.132010363897862,0.1551047497167483,0.1782004008713293,0.2012976200406148,0.2243969513966737,0.2474992842843166,0.2706060376391122,0.2937190063532324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.257961808849269,-0.0082605203642802,-0.0130767416037797,-0.0178816727251941,-0.022691517333776,-0.0275026622705315,-0.032314390842326,-0.0371267042510584,-0.0419397831933871,-0.0467539677386535,-0.0515698499056223,-0.0563884041476931,-0.0612107156311603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-13072.32266484378,-0.0082604398092067,-0.0130758686425412,-0.0178811483919645,-0.022691769024681,-0.0275031478985426,-0.0323148997214336,-0.0371270273545713,-0.0419396033523722,-0.046752736866653,-0.0515665762536498,-0.0563813239894076,-0.0611972768311819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,13072.57151554674,0.0165210492575717,0.0261531471696688,0.0357629681168493,0.0453832982783242,0.0550057177653079,0.064629050542504,0.0742532434536961,0.0838784578098673,0.0935049724048987,0.1031332084843924,0.1127638100351196,0.1223977421956369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-13.797053404404624,-0.0083436488644995,-0.0133813411144083,-0.0176785933187219,-0.0223915128116022,-0.0271905090478028,-0.0320356886586979,-0.0369357600423985,-0.0419144442096271,-0.0470134155458642,-0.0523038477532387,-0.0578951365563809,-0.0638658932134075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-13044.140561379209,-0.0083552350352316,-0.0133703538659701,-0.0176595485128462,-0.0224065505868855,-0.0272135858857161,-0.0320577517960809,-0.0369468654846636,-0.041897651913428,-0.0469371878572188,-0.0521086071748597,-0.057473284140341,-0.0630665622718836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,13059.753398936458,0.016748752509499,0.0268563484485038,0.0353773776335796,0.0448155429442316,0.0543914791900095,0.064025684639356,0.0737151078987151,0.0834668496157021,0.0932898648061296,0.1031934505406404,0.1131942758965126,0.12336919866328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-23.01471405350881,-0.0083993081444745,-0.01358533559459,-0.0175418490278399,-0.0221891963605701,-0.0269791269318484,-0.0318453977789925,-0.0368024718055646,-0.0418897655726046,-0.0471765716321135,-0.0527812779640601,-0.0588858473114968,-0.0656207557477172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-13025.859231107946,-0.0084186893562835,-0.0135671396450642,-0.0175091883062949,-0.0222118723583273,-0.0270136815843221,-0.0318765314142307,-0.0368133946072032,-0.0418520744837962,-0.0470376375976773,-0.0524419423141649,-0.0581672840946276,-0.0642724558324683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
