,node_852r.1_harmonico_60,node_852r.1_harmonico_180,node_852r.1_harmonico_300,node_852r.1_harmonico_420,node_852r.1_harmonico_540,node_852r.1_harmonico_660,node_852r.1_harmonico_780,node_852r.1_harmonico_900,node_852r.1_harmonico_1020,node_852r.1_harmonico_1140,node_852r.1_harmonico_1260,node_852r.1_harmonico_1380,node_852r.1_harmonico_1500,node_852r.1_harmonico_1620,node_852r.1_harmonico_1740,node_852r.1_harmonico_1860,node_852r.1_harmonico_1980,node_852r.1_harmonico_2100,node_852r.1_harmonico_2220,node_852r.1_harmonico_2340,node_852r.1_harmonico_2460,node_852r.1_harmonico_2580,node_852r.1_harmonico_2700,node_852r.1_harmonico_2820,node_852r.1_harmonico_2940
0,36225.02843437387,-0.0017774915824269,0.0681393964530764,0.0459792193619881,0.0227150421566322,0.0139642917224938,0.0094016062863159,0.0064690533845461,0.0043093386070167,0.0025781508254163,0.0011592029573218,0.0001095354499337,-0.0003858075130593,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-0.3181580719983684,0.0303118347476717,-0.008781929919783,-0.0371151466477579,-0.0231245259046337,-0.015364317264325,-0.0102541379744878,-0.0062856501743177,-0.0027833510833202,0.0006461494518618,0.0043117612651586,0.0085373651432873,0.0137352289766075,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-36224.710276302016,-0.0285343431652462,-0.0593574665332938,-0.0088640727142326,0.0004094837480023,0.00140002554183,0.0008525316881714,-0.0001834032102289,-0.001525987523697,-0.003224300277278,-0.0054709642224803,-0.0086469005932211,-0.0133494214635485,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,15094.72797814517,0.0099411280241779,0.0479778954687197,0.0209640214909796,0.0085555577562714,0.0048101663963769,0.0032612910195363,0.0025357962790337,0.0022431338632243,0.0022854884639383,0.0027241393397383,0.0037892310697805,0.0058645946318632,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,-7547.564515825301,0.0128089927088059,-0.0289155027299658,-0.031681707713298,-0.0175038077995409,-0.011210742463658,-0.0075199288710764,-0.0048771549607879,-0.0026894086683385,-0.0006586691241382,0.0014108465434677,0.0036853743247958,0.0063379530924961,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10,-7547.189825653954,-0.0221046736129466,-0.0202038357089761,0.0104040885298744,0.0088019352901868,0.0062842211158304,0.0041605988308162,0.0022831227033387,0.0004791312795013,-0.0014004279928963,-0.0035115190020969,-0.0060572015642002,-0.009334952433169,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
12,15058.04592867804,1.4639630405136022,3.438909234186778,1.058631065231278,0.3547227717179682,0.1829343422750687,0.1285661785239499,0.1179018051283507,0.1352059735229655,0.1830912257356223,0.2779773251081987,0.4541079059921638,0.7546423755308974,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
14,-7551.801813922378,0.6857800632295576,-2.8430342341858825,-2.3721356565153053,-1.2959289202576545,-0.8353052488727596,-0.5628234548410534,-0.3616485557743548,-0.1860494136143933,-0.0093258689923875,0.1926122229115087,0.4491304865179104,0.7899720701810498,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
16,-7524.187542251141,-1.7506473468779435,-0.8016687142804193,1.1854470643651636,0.8501535565512054,0.5763920543241088,0.3739872138671304,0.2088733898425643,0.0616814927885731,-0.0783768489762441,-0.2169531422219936,-0.3566555303255979,-0.5085771808254258,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
18,15033.332597864846,2.4389526307230693,5.71256113716824,1.7543172725704768,0.5867694376391115,0.3023182483623406,0.2125416492733687,0.1952175828378791,0.224321338599983,0.3042797934006456,0.4624743100364711,0.755941499662088,1.2565072035835256,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
